material_type,moisture_content,contamination_level,combustibility,calorific_value,rdf_score,rdf_suitable,rdf_grade
cardboard,13.78,3.43,9.09,15.28,0.5713,1,Medium
glass,3.81,2.36,0.0,0.0,0.4349,0,Low
paper,21.1,4.11,8.33,13.91,0.5927,1,Medium
organic,42.55,8.79,4.53,6.79,0.2493,0,Unsuitable
cardboard,22.86,3.11,7.58,16.4,0.611,1,Medium
organic,46.17,7.78,4.98,7.84,0.2837,0,Unsuitable
organic,58.78,4.33,2.52,5.38,0.2299,0,Unsuitable
plastic,6.7,2.62,9.67,41.2,0.9106,1,High
glass,4.02,1.16,0.0,0.0,0.4254,0,Low
glass,1.0,0.02,0.0,0.0,0.3736,0,Low
paper,16.47,2.84,7.42,13.46,0.5491,1,Medium
glass,2.36,1.7,0.0,0.0,0.438,0,Low
cardboard,11.08,0.12,8.31,15.64,0.6886,1,Medium
metal,4.27,0.7,0.06,0.14,0.432,0,Low
plastic,5.57,4.7,9.33,36.5,0.8257,1,High
metal,0.83,0.07,0.09,0.36,0.4749,1,Low
glass,2.51,0.46,0.0,0.0,0.4281,0,Low
cardboard,11.03,2.52,8.09,15.26,0.5768,1,Medium
plastic,9.09,4.2,8.53,45.51,0.8367,1,High
organic,68.68,6.15,3.09,3.48,0.1838,0,Unsuitable
cardboard,9.05,1.22,8.74,15.53,0.6179,1,Medium
plastic,7.59,4.32,8.86,40.04,0.902,1,High
cardboard,6.69,1.66,7.12,16.48,0.7055,1,High
metal,0.72,0.31,0.59,0.09,0.4076,0,Low
organic,53.87,7.14,2.09,7.79,0.1893,0,Unsuitable
metal,3.91,0.25,0.49,0.25,0.4651,1,Low
cardboard,14.47,1.07,7.99,16.56,0.6387,1,Medium
metal,0.11,2.48,0.9,0.07,0.3668,0,Low
paper,21.81,1.41,8.98,15.91,0.6609,1,Medium
cardboard,7.15,3.66,7.69,15.11,0.5869,1,Medium
metal,4.15,2.42,0.32,0.48,0.4178,0,Low
plastic,5.15,1.54,9.87,32.63,0.8262,1,High
paper,29.81,4.46,9.25,16.56,0.5727,1,Medium
plastic,5.19,1.9,9.54,40.59,0.9509,1,High
organic,69.87,4.84,5.75,4.2,0.3644,0,Low
cardboard,21.62,0.61,7.54,16.8,0.5934,1,Medium
paper,24.44,4.86,8.5,13.58,0.5667,1,Medium
paper,10.74,0.66,9.03,13.49,0.6841,1,Medium
organic,63.24,4.4,5.22,6.58,0.2524,0,Unsuitable
glass,0.66,0.37,0.0,0.0,0.4241,0,Low
cardboard,18.26,3.82,7.86,17.77,0.5977,1,Medium
plastic,5.55,3.8,8.21,32.25,0.7776,1,High
cardboard,16.92,3.73,9.41,16.4,0.606,1,Medium
organic,40.71,3.76,5.32,6.98,0.2996,0,Unsuitable
plastic,6.06,5.21,9.21,36.6,0.7457,1,High
metal,3.26,2.6,0.45,0.12,0.3334,0,Unsuitable
organic,72.66,3.74,2.27,5.97,0.256,0,Unsuitable
glass,4.12,0.93,0.0,0.0,0.4402,0,Low
cardboard,8.07,0.46,7.06,15.17,0.6838,1,Medium
paper,6.33,2.96,9.04,14.57,0.6804,1,Medium
organic,75.0,8.96,2.17,3.91,0.2504,0,Unsuitable
metal,1.25,1.71,0.42,0.02,0.3647,0,Low
cardboard,6.04,3.7,7.3,17.53,0.6592,1,Medium
organic,79.18,8.61,5.12,6.21,0.1653,0,Unsuitable
glass,2.68,1.54,0.0,0.0,0.3989,0,Low
cardboard,17.79,1.07,7.42,16.43,0.6629,1,Medium
metal,1.84,1.1,0.33,0.19,0.3776,0,Low
paper,12.42,4.74,9.75,14.92,0.6837,1,Medium
plastic,8.49,3.92,9.61,38.52,0.8338,1,High
metal,1.44,2.2,0.2,0.35,0.3986,0,Low
organic,43.8,8.08,2.34,7.68,0.2534,0,Unsuitable
metal,4.79,2.4,0.59,0.39,0.3669,0,Low
organic,50.14,7.13,2.38,6.08,0.212,0,Unsuitable
organic,62.6,7.01,3.86,5.61,0.2378,0,Unsuitable
organic,59.69,7.2,5.72,3.6,0.1823,0,Unsuitable
glass,0.44,1.97,0.0,0.0,0.4498,0,Low
glass,4.49,2.29,0.0,0.0,0.3828,0,Low
plastic,1.58,0.89,9.87,37.01,0.9001,1,High
cardboard,16.06,3.74,9.34,16.44,0.6374,1,Medium
glass,4.93,2.15,0.0,0.0,0.5079,1,Medium
organic,44.88,7.12,4.74,3.06,0.3511,0,Low
metal,4.13,0.89,0.46,0.22,0.4522,1,Low
metal,3.91,0.33,1.0,0.44,0.4309,0,Low
organic,73.48,3.74,6.0,6.33,0.3205,0,Unsuitable
metal,4.49,0.09,0.24,0.07,0.4494,0,Low
cardboard,8.96,3.64,8.97,15.11,0.6376,1,Medium
cardboard,17.12,3.21,7.72,17.55,0.5863,1,Medium
cardboard,21.02,3.71,9.32,17.09,0.6929,1,Medium
plastic,2.02,0.75,9.01,41.92,0.9325,1,High
cardboard,22.02,0.62,9.2,15.58,0.6535,1,Medium
cardboard,24.6,2.45,7.16,16.85,0.6194,1,Medium
glass,4.42,2.13,0.0,0.0,0.3669,0,Low
plastic,4.59,4.7,9.27,39.16,0.8431,1,High
organic,77.84,5.11,4.31,6.5,0.2237,0,Unsuitable
plastic,1.48,3.05,8.81,37.59,0.9504,1,High
organic,45.36,4.95,3.22,5.14,0.3294,0,Unsuitable
plastic,4.12,2.45,8.44,39.41,0.8008,1,High
metal,0.18,1.26,0.47,0.11,0.3866,0,Low
plastic,7.02,3.89,9.3,35.06,0.7862,1,High
metal,2.75,1.29,0.63,0.18,0.4406,0,Low
glass,4.43,2.76,0.0,0.0,0.3419,0,Unsuitable
