epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.016,1.28057,3.38828,1.17884,0.00999,0.44145,0.06106,0.03968,1.23971,3.76868,1.10069,0.000328283,0.000328283,0.000328283
2,674.693,1.30492,2.82231,1.18426,0.2549,0.17124,0.07415,0.04591,1.40295,3.0973,1.21,0.000648516,0.000648516,0.000648516
3,1009.34,1.39304,2.77562,1.206,0.42634,0.18416,0.08568,0.04631,1.419,3.93632,1.25012,0.000955549,0.000955549,0.000955549
4,1335.04,1.36619,2.67397,1.20074,0.25871,0.20251,0.07354,0.04601,1.47064,3.34948,1.3187,0.0009406,0.0009406,0.0009406
5,1672.78,1.36494,2.57297,1.19463,0.45884,0.16921,0.09231,0.05995,1.37874,3.13513,1.20696,0.0009208,0.0009208,0.0009208
6,2014.42,1.34792,2.45447,1.19497,0.33439,0.21464,0.09996,0.06759,1.46441,2.88603,1.28675,0.000901,0.000901,0.000901
7,2362.63,1.33791,2.41358,1.20815,0.26721,0.16165,0.09124,0.05773,1.31658,2.84591,1.18163,0.0008812,0.0008812,0.0008812
8,2700.37,1.30674,2.29379,1.16384,0.31174,0.22227,0.10844,0.07327,1.32715,2.53877,1.19336,0.0008614,0.0008614,0.0008614
9,3030.1,1.27483,2.24971,1.15981,0.46624,0.18572,0.10659,0.07297,1.41325,2.42513,1.22317,0.0008416,0.0008416,0.0008416
10,3417.83,1.24746,2.18862,1.15947,0.48716,0.20184,0.12262,0.07934,1.29612,2.4077,1.17656,0.0008218,0.0008218,0.0008218
11,3862.96,1.24,2.16942,1.15078,0.30902,0.2198,0.12971,0.08175,1.36182,2.30833,1.20319,0.000802,0.000802,0.000802
12,4273.53,1.21457,2.16032,1.11962,0.31425,0.21066,0.12735,0.08098,1.34778,2.39678,1.17543,0.0007822,0.0007822,0.0007822
13,4590.31,1.25341,2.1319,1.12499,0.36149,0.18072,0.14023,0.09615,1.34499,2.32599,1.18572,0.0007624,0.0007624,0.0007624
14,4905.27,1.22571,2.11152,1.13607,0.32229,0.26345,0.14938,0.1024,1.2878,2.19107,1.1479,0.0007426,0.0007426,0.0007426
15,5219.03,1.18475,2.01317,1.11867,0.48846,0.2193,0.15071,0.10465,1.34019,2.34916,1.19206,0.0007228,0.0007228,0.0007228
16,5532.09,1.15383,1.91853,1.10144,0.49318,0.15868,0.15233,0.10263,1.27597,2.4345,1.16096,0.000703,0.000703,0.000703
17,5843.94,1.17112,1.95196,1.10499,0.15691,0.22674,0.15985,0.11327,1.26416,2.16717,1.1691,0.0006832,0.0006832,0.0006832
18,6157.6,1.18558,1.9301,1.11457,0.50707,0.17762,0.15039,0.10841,1.28004,2.41177,1.16418,0.0006634,0.0006634,0.0006634
19,6469.85,1.15712,1.84173,1.09203,0.36563,0.21501,0.15974,0.1108,1.28275,2.17819,1.18139,0.0006436,0.0006436,0.0006436
20,6803.85,1.12509,1.77435,1.08036,0.33054,0.2479,0.15502,0.10667,1.30622,2.2139,1.20377,0.0006238,0.0006238,0.0006238
21,7129.18,1.13373,1.76705,1.07907,0.34471,0.21155,0.1443,0.09864,1.30367,2.23922,1.18575,0.000604,0.000604,0.000604
22,7457.6,1.10883,1.7607,1.07965,0.3499,0.23862,0.18389,0.13163,1.25658,2.08062,1.14437,0.0005842,0.0005842,0.0005842
23,7774.84,1.12242,1.7689,1.06247,0.22319,0.25977,0.17452,0.12232,1.24326,2.05187,1.1583,0.0005644,0.0005644,0.0005644
24,8089.42,1.10687,1.75423,1.06492,0.20348,0.30143,0.17695,0.12153,1.28672,2.08311,1.16989,0.0005446,0.0005446,0.0005446
